Date,Riders
1973-01-31,648000.0
1973-02-28,646000.0
1973-03-31,639000.0
1973-04-30,654000.0
1973-05-31,630000.0
1973-06-30,622000.0
1973-07-31,617000.0
1973-08-31,613000.0
1973-09-30,661000.0
1973-10-31,695000.0
1973-11-30,690000.0
1973-12-31,707000.0
1974-01-31,817000.0
1974-02-28,839000.0
1974-03-31,810000.0
1974-04-30,789000.0
1974-05-31,760000.0
1974-06-30,724000.0
1974-07-31,704000.0
1974-08-31,691000.0
1974-09-30,745000.0
1974-10-31,803000.0
1974-11-30,780000.0
1974-12-31,761000.0
1975-01-31,857000.0
1975-02-28,907000.0
1975-03-31,873000.0
1975-04-30,910000.0
1975-05-31,900000.0
1975-06-30,880000.0
1975-07-31,867000.0
1975-08-31,854000.0
1975-09-30,928000.0
1975-10-31,1064000.0
1975-11-30,1103000.0
1975-12-31,1026000.0
1976-01-31,1102000.0
1976-02-29,1080000.0
1976-03-31,1034000.0
1976-04-30,1083000.0
1976-05-31,1078000.0
1976-06-30,1020000.0
1976-07-31,984000.0
1976-08-31,952000.0
1976-09-30,1033000.0
1976-10-31,1114000.0
1976-11-30,1160000.0
1976-12-31,1058000.0
1977-01-31,1209000.0
1977-02-28,1200000.0
1977-03-31,1130000.0
1977-04-30,1182000.0
1977-05-31,1152000.0
1977-06-30,1116000.0
1977-07-31,1098000.0
1977-08-31,1044000.0
1977-09-30,1142000.0
1977-10-31,1222000.0
1977-11-30,1234000.0
1977-12-31,1155000.0
1978-01-31,1286000.0
1978-02-28,1281000.0
1978-03-31,1224000.0
1978-04-30,1280000.0
1978-05-31,1228000.0
1978-06-30,1181000.0
1978-07-31,1156000.0
1978-08-31,1124000.0
1978-09-30,1152000.0
1978-10-31,1205000.0
1978-11-30,1260000.0
1978-12-31,1188000.0
1979-01-31,1212000.0
1979-02-28,1269000.0
1979-03-31,1246000.0
1979-04-30,1299000.0
1979-05-31,1284000.0
1979-06-30,1345000.0
1979-07-31,1341000.0
1979-08-31,1308000.0
1979-09-30,1448000.0
1979-10-31,1454000.0
1979-11-30,1467000.0
1979-12-31,1431000.0
1980-01-31,1510000.0
1980-02-29,1558000.0
1980-03-31,1536000.0
1980-04-30,1523000.0
1980-05-31,1492000.0
1980-06-30,1437000.0
1980-07-31,1365000.0
1980-08-31,1310000.0
1980-09-30,1441000.0
1980-10-31,1450000.0
1980-11-30,1424000.0
1980-12-31,1360000.0
1981-01-31,1429000.0
1981-02-28,1440000.0
1981-03-31,1414000.0
1981-04-30,1424000.0
1981-05-31,1408000.0
1981-06-30,1337000.0
1981-07-31,1258000.0
1981-08-31,1214000.0
1981-09-30,1326000.0
1981-10-31,1417000.0
1981-11-30,1417000.0
1981-12-31,1329000.0
1982-01-31,1461000.0
1982-02-28,1425000.0
1982-03-31,1419000.0
1982-04-30,1432000.0
1982-05-31,1394000.0
1982-06-30,1327000.0
